name,line,type,ZOI80,ZOI50,ZOI20,fAUC80,fAUC50,fAUC20,slope
A16_30_2,A16,levelA,9,14,19,0.59,0.4,0.37,109.3
A16_30_3,A16,levelA,11,14,20,0.32,0.25,0.36,145.5
A16_30_4,A16,levelA,6,15,23,0.82,0.47,0.47,95.4
A16_30_5,A16,levelA,7,13,20,0.81,0.45,0.48,101.1
A16_30_6,A16,levelA,6,14,18,0.98,0.51,0.39,115.7
A16_30_7,A16,levelA,0,15,20,1,0.62,0.46,110.1
A16_30_8,A16,levelA,8,13,18,0.85,0.43,0.42,118
A16_30_9,A16,levelA,8,17,24,0.75,0.46,0.45,91.8
A16_37_1,A16,levelB,13,16,18,0.5,0.26,0.26,53.8
A16_37_10,A16,levelB,0,16,25,0.33,0.59,0.53,60.1
A16_37_11,A16,levelB,11,16,19,0.2,0.25,0.26,124
A16_37_12,A16,levelB,1,14,20,NA,0.53,0.47,100.4
A16_37_2,A16,levelB,12,16,24,0.42,0.29,0.39,91.2
A16_37_3,A16,levelB,11,14,17,0.14,0.19,0.24,160.1
A16_37_4,A16,levelB,12,16,21,0.3,0.27,0.33,84.9
A16_37_6,A16,levelB,0,13,26,1,0.64,0.64,46.7
A16_37_7,A16,levelB,11,15,18,0.22,0.22,0.28,149.5
A16_37_8,A16,levelB,7,14,18,0.79,0.44,0.4,114.6
A17_30_1,A17,levelA,11,16,18,0.75,0.39,0.3,201.8
A17_30_10,A17,levelA,7,16,19,0.93,0.47,0.36,201.9
A17_30_11,A17,levelA,12,15,17,0.22,0.19,0.21,215.3
A17_30_12,A17,levelA,10,14,17,0.67,0.38,0.32,196.3
A17_30_2,A17,levelA,12,16,19,0.48,0.29,0.28,200.6
A17_30_3,A17,levelA,13,16,19,0.37,0.24,0.26,191.4
A17_30_4,A17,levelA,0,15,17,1,0.48,0.36,174.8
A17_30_5,A17,levelA,12,15,18,0.44,0.28,0.25,210.6
A17_30_6,A17,levelA,8,13,15,0.83,0.44,0.33,188.1
A17_30_7,A17,levelA,13,15,18,0.25,0.18,0.21,149.7
A17_30_8,A17,levelA,14,17,21,0.38,0.24,0.28,196.4
A17_30_9,A17,levelA,10,16,19,0.88,0.43,0.36,192.1
A17_37_1,A17,levelB,0,10,17,1,0.75,0.57,63.1
A17_37_10,A17,levelB,0,18,21,1,0.68,0.53,51.6
A17_37_11,A17,levelB,12,14,19,0.21,0.19,0.31,109
A17_37_12,A17,levelB,13,17,22,0.47,0.32,0.32,117.7
A17_37_2,A17,levelB,0,1,16,1,NA,0.77,28.8
A17_37_3,A17,levelB,0,15,19,1,0.49,0.4,126.2
A17_37_5,A17,levelB,12,16,19,0.15,0.18,0.23,157.3
A17_37_6,A17,levelB,0,14,19,1,0.64,0.5,53.1
A17_37_8,A17,levelB,4,16,20,0.82,0.49,0.43,60.5
A18_30_1,A18,levelA,6,10,15,0.63,0.43,0.44,116.1
A18_30_10,A18,levelA,4,8,11,0.77,0.51,0.41,125.3
A18_30_11,A18,levelA,0,9,13,1,0.63,0.51,101.1
A18_30_12,A18,levelA,4,10,14,0.85,0.53,0.45,117.5
A18_30_2,A18,levelA,5,10,12,0.5,0.43,0.33,123.3
A18_30_3,A18,levelA,4,9,11,0.79,0.51,0.4,123.4
A18_30_4,A18,levelA,4,9,11,0.75,0.48,0.38,150
A18_30_5,A18,levelA,0,8,11,1,0.59,0.44,114.2
A18_30_6,A18,levelA,7,10,12,0.34,0.27,0.3,153.3
A18_30_7,A18,levelA,2,8,11,1,0.63,0.47,97.7
A18_30_8,A18,levelA,0,9,13,1,0.64,0.5,96.2
A18_30_9,A18,levelA,4,8,11,0.71,0.48,0.41,120.4
A18_37_1,A18,levelB,0,7,11,1,0.59,0.47,131
A18_37_10,A18,levelB,0,7,11,1,0.61,0.5,103.6
A18_37_11,A18,levelB,2,8,11,0.84,0.58,0.45,126.3
A18_37_12,A18,levelB,3,8,11,0.9,0.54,0.45,125
A18_37_2,A18,levelB,4,8,11,0.83,0.52,0.43,131
A18_37_3,A18,levelB,2,8,11,0.98,0.61,0.47,112.8
A18_37_4,A18,levelB,5,9,11,0.51,0.36,0.35,153.1
A18_37_5,A18,levelB,4,9,13,0.75,0.51,0.43,131
A18_37_6,A18,levelB,5,9,11,0.66,0.44,0.38,138.7
A18_37_7,A18,levelB,0,8,12,1,0.65,0.49,96.7
A18_37_8,A18,levelB,0,9,15,1,0.68,0.57,88.8
A18_37_9,A18,levelB,4,9,11,0.85,0.51,0.4,126.7
