"distance.p1_30_a","instensity.p1_30_a","distance.p2_30_a","instensity.p2_30_a","distance.p3_atyp1","instensity.p3_atyp1","distance.p4_atyp2","instensity.p4_atyp2"
8.426,11.986,8.285,81.819,8.82,37.083,9,112.111
8.511,12.014,8.368,81.75,8.909,41.528,9.091,103.736
8.596,12.181,8.452,80.139,8.998,41.903,9.182,92.75
8.681,11.875,8.536,81.625,9.087,41.778,9.273,92.014
8.766,10.944,8.619,83.042,9.176,46.208,9.364,102.444
8.851,10.944,8.703,84.014,9.265,46.153,9.455,108.333
8.936,11.167,8.787,80.597,9.354,46.125,9.545,106.653
9.021,12.208,8.87,73.333,9.443,42.028,9.636,99
9.106,12.889,8.954,74.5,9.532,47.847,9.727,93.278
9.191,12.333,9.038,78.014,9.621,47.708,9.818,87.542
9.277,11.958,9.121,78.333,9.71,49.264,9.909,89.694
9.362,11.917,9.205,75.264,9.8,48.375,10,94.903
9.447,12.028,9.289,74.528,9.889,49.222,10.091,98.458
9.532,12.042,9.372,80.5,9.978,46.722,10.182,102.486
9.617,12.139,9.456,84.847,10.067,53.194,10.273,102.264
9.702,12.694,9.54,87.444,10.156,57.542,10.364,97.25
9.787,12.722,9.623,87.278,10.245,66.486,10.455,87.75
9.872,12.639,9.707,81.861,10.334,75.111,10.545,88.347
9.957,12.958,9.791,82.875,10.423,80.639,10.636,93.597
10.043,13.125,9.874,84.347,10.512,79.056,10.727,94.153
10.128,13,9.958,85.569,10.601,80.694,10.818,97.181
10.213,12.778,10.042,80.278,10.69,81.972,10.909,99.472
10.298,12.458,10.126,80.361,10.78,85.083,11,105.583
10.383,12.806,10.209,82.944,10.869,82.069,11.091,104.375
10.468,12.569,10.293,86.917,10.958,77.208,11.182,106.653
10.553,12.806,10.377,84.361,11.047,77.861,11.273,109.333
10.638,13.653,10.46,77.5,11.136,79.403,11.364,107.736
10.723,14.639,10.544,77.236,11.225,83.889,11.455,105.014
10.809,14.708,10.628,83.097,11.314,87.833,11.545,98.542
10.894,13.889,10.711,84.125,11.403,90.125,11.636,95.347
10.979,15.028,10.795,80.278,11.492,90.917,11.727,100.639
11.064,15.014,10.879,74.722,11.581,87.903,11.818,99.806
11.149,14.361,10.962,73.778,11.67,84.153,11.909,94.708
11.234,14.639,11.046,83.597,11.759,80.069,12,95.944
11.319,14.806,11.13,93.431,11.849,81.431,12.091,96.014
11.404,15.222,11.213,93.792,11.938,90.181,12.182,93.389
11.489,16.194,11.297,89.319,12.027,96.556,12.273,87.167
11.574,16,11.381,85.917,12.116,96.792,12.364,80.694
11.66,16.694,11.464,86.347,12.205,94.611,12.455,76.361
11.745,17.042,11.548,83.861,12.294,93.653,12.545,75.694
11.83,17.319,11.632,81.667,12.383,91.681,12.636,73.514
11.915,16.875,11.715,84.069,12.472,93.542,12.727,74.847
12,16.708,11.799,87.847,12.561,96.069,12.818,76.333
12.085,16.806,11.883,88.375,12.65,95.903,12.909,75.958
12.17,16.944,11.967,85.194,12.739,93.222,13,72.903
12.255,18.042,12.05,80.542,12.829,98.25,13.091,66.417
12.34,19.111,12.134,83.458,12.918,100.083,13.182,60.319
12.426,19.528,12.218,87.569,13.007,100.708,13.273,56.625
12.511,20.292,12.301,87.375,13.096,97.736,13.364,56.958
12.596,21.403,12.385,85.194,13.185,98.25,13.455,57.889
12.681,21.319,12.469,79.736,13.274,96.667,13.545,54.722
12.766,20.278,12.552,79.194,13.363,92.069,13.636,51.556
