"distance.p1_30_a","instensity.p1_30_a","distance.p2_30_a","instensity.p2_30_a","distance.p3_atyp1","instensity.p3_atyp1","distance.p4_atyp2","instensity.p4_atyp2"
36,154.903,35.397,146.792,37.684,172.653,38.455,29.528
36.085,155.931,35.481,146.5,37.773,173.708,38.545,29.306
36.17,155.583,35.565,145.903,37.862,169.597,38.636,29.25
36.255,155.417,35.649,146.583,37.951,161.875,38.727,29.167
36.34,155.806,35.732,146.917,38.04,157.042,38.818,29.625
36.426,155.653,35.816,148.181,38.129,152.833,38.909,29.528
36.511,155.528,35.9,148.361,38.218,150.611,39,30.319
36.596,155.194,35.983,147.236,38.307,149.139,39.091,31.236
36.681,155.806,36.067,147.736,38.396,149.875,39.182,31.694
36.766,156.819,36.151,148.069,38.486,148.556,39.273,31.917
36.851,156.875,36.234,148,38.575,150.319,39.364,32.597
36.936,154.764,36.318,146.861,38.664,151.556,39.455,33.778
37.021,154.667,36.402,146.167,38.753,153.986,39.545,35.778
37.106,155.222,36.485,148.361,38.842,158.819,39.636,37.444
37.191,155.333,36.569,148.056,38.931,159.292,39.727,39.944
37.277,155.931,36.653,149.417,39.02,158.125,39.818,41.903
37.362,158.278,36.736,151.736,39.109,154.292,39.909,43.514
37.447,160.319,36.82,150.806,39.198,150.194,NA,NA
37.532,159.167,36.904,149.069,39.287,145.986,NA,NA
37.617,158.583,36.987,147.375,39.376,140.111,NA,NA
37.702,160.833,37.071,146.528,39.465,130.931,NA,NA
37.787,164.361,37.155,145.333,39.555,126.278,NA,NA
37.872,166.194,37.238,144.889,39.644,131.694,NA,NA
37.957,168.264,37.322,146.361,39.733,136.861,NA,NA
38.043,169.167,37.406,151.708,39.822,137.708,NA,NA
38.128,168.819,37.49,156.694,39.911,140.736,NA,NA
38.213,169.75,37.573,157.472,NA,NA,NA,NA
38.298,171.222,37.657,157.083,NA,NA,NA,NA
38.383,170.736,37.741,156.25,NA,NA,NA,NA
38.468,170.014,37.824,154.486,NA,NA,NA,NA
38.553,171.931,37.908,155.931,NA,NA,NA,NA
38.638,171.083,37.992,157.306,NA,NA,NA,NA
38.723,169.097,38.075,156.056,NA,NA,NA,NA
38.809,167.25,38.159,156.431,NA,NA,NA,NA
38.894,165.917,38.243,156.708,NA,NA,NA,NA
38.979,166.847,38.326,158.181,NA,NA,NA,NA
39.064,168.097,38.41,159.486,NA,NA,NA,NA
39.149,166.583,38.494,159.083,NA,NA,NA,NA
39.234,165.167,38.577,160.417,NA,NA,NA,NA
39.319,166.875,38.661,162.5,NA,NA,NA,NA
39.404,166.764,38.745,161.069,NA,NA,NA,NA
39.489,165.319,38.828,157.056,NA,NA,NA,NA
39.574,162.167,38.912,151.389,NA,NA,NA,NA
39.66,159.75,38.996,149.167,NA,NA,NA,NA
39.745,155.403,39.079,146.167,NA,NA,NA,NA
39.83,150.764,39.163,142.917,NA,NA,NA,NA
39.915,145.5,39.247,135.792,NA,NA,NA,NA
NA,NA,39.331,130.347,NA,NA,NA,NA
NA,NA,39.414,127,NA,NA,NA,NA
NA,NA,39.498,127.083,NA,NA,NA,NA
NA,NA,39.582,126.569,NA,NA,NA,NA
NA,NA,39.665,124.819,NA,NA,NA,NA
NA,NA,39.749,123.958,NA,NA,NA,NA
NA,NA,39.833,121.556,NA,NA,NA,NA
NA,NA,39.916,117.681,NA,NA,NA,NA
