"distance.p1_30_a","instensity.p1_30_a","distance.p2_30_a","instensity.p2_30_a"
16.723,95.667,17.456,104.764
16.807,94.139,17.544,103.278
16.891,93.861,17.632,103.472
16.975,95.181,17.719,101.069
17.059,96.069,17.807,100.903
17.143,96.486,17.895,101.778
17.227,98.125,17.982,102.736
17.311,97.014,18.07,102.125
17.395,95.389,18.158,101.889
17.479,94.444,18.246,102.375
17.563,94.986,18.333,104.361
17.647,97.625,18.421,108.458
17.731,100.931,18.509,111.917
17.815,105.569,18.596,112.028
17.899,108.319,18.684,113.208
17.983,109.014,18.772,114
18.067,106.986,18.86,114.472
18.151,106.875,18.947,114.847
18.235,108.25,19.035,117.319
18.319,109.542,19.123,122.181
18.403,112.222,19.211,124.569
18.487,114.861,19.298,121.708
18.571,115.778,19.386,117.889
18.655,117.125,19.474,118.181
18.739,119.875,19.561,118.194
18.824,119.236,19.649,119.792
18.908,117.444,19.737,122.583
18.992,116.403,19.825,125.208
19.076,119.056,19.912,128.208
19.16,120.986,20,132.556
19.244,121.153,20.088,134.5
19.328,121.431,20.175,134.083
19.412,123.931,20.263,134.333
19.496,124.958,20.351,133.75
19.58,124.639,20.439,132.847
19.664,125.222,20.526,132.181
19.748,127.375,20.614,131.417
19.832,128.903,20.702,128.778
19.916,129.597,20.789,130.069
20,130.75,20.877,133.361
20.084,130.819,20.965,136.278
20.168,130.333,21.053,138.125
20.252,130.75,21.14,140.958
20.336,132.028,21.228,143.958
20.42,133.181,21.316,146.403
20.504,134.097,21.404,147.222
20.588,136.542,21.491,146.875
20.672,137.417,21.579,146.833
20.756,138.611,21.667,147.667
20.84,140.097,21.754,150.778
20.924,140.819,21.842,153.861
21.008,140.5,21.93,155.153
21.092,141.389,22.018,154.833
21.176,140.153,22.105,153.444
21.261,139.736,22.193,151.875
21.345,140.042,22.281,149.667
21.429,140.708,22.368,146.708
21.513,140.375,22.456,144.986
21.597,139.208,22.544,144.319
21.681,140.292,22.632,146.111
21.765,143.889,22.719,146.75
21.849,146.042,22.807,147.236
21.933,144.5,22.895,149.514
22.017,145.028,22.982,151.764
22.101,146.125,23.07,153.486
22.185,146.708,23.158,152.736
22.269,145.569,23.246,148.972
22.353,146.333,23.333,146.181
22.437,146.028,23.421,147.25
22.521,145.333,23.509,147.847
22.605,146.208,23.596,148.042
22.689,146.222,23.684,149.042
22.773,144.847,23.772,148.208
22.857,142.222,23.86,146.542
22.941,139.875,23.947,144.667
23.025,140.708,24.035,144.569
23.109,143.903,24.123,146.181
23.193,145.556,24.211,149.139
23.277,146.514,24.298,149.944
23.361,146.486,24.386,150.847
23.445,146.389,24.474,151.958
23.529,146.542,24.561,153.125
23.613,148.458,24.649,150.986
23.697,150.028,24.737,146.889
23.782,149.736,24.825,145.708
23.866,148.25,24.912,147.056
23.95,147.458,25,150.181
24.034,147.25,25.088,152.708
24.118,146.861,25.175,154.194
24.202,148.319,25.263,153.292
24.286,149.986,25.351,152.111
24.37,150.556,25.439,150.556
24.454,149.431,25.526,148.653
24.538,148.819,25.614,146.597
24.622,148.389,25.702,144.431
24.706,147.625,25.789,143.681
24.79,147.792,25.877,144.5
24.874,147.111,25.965,146.625
24.958,146.736,26.053,149.236
25.042,146.597,26.14,150.097
25.126,146.167,26.228,151.014
25.21,145.292,26.316,151.861
25.294,143.708,26.404,150.611
25.378,144.028,26.491,147.708
25.462,146.806,26.579,147.139
25.546,148.5,26.667,147.153
25.63,148.528,26.754,146.736
25.714,147.111,26.842,146.694
25.798,146.014,26.93,148.236
25.882,146.194,27.018,149.931
25.966,147.875,27.105,148.958
26.05,150.333,27.193,147.444
26.134,151.264,27.281,147.25
26.218,149.889,27.368,147.639
26.303,149.056,27.456,147.875
26.387,149.153,27.544,147.097
26.471,150.139,27.632,148.181
26.555,151.597,27.719,149.986
26.639,152.097,27.807,150.819
26.723,151.486,27.895,150.778
26.807,152.25,27.982,150.236
26.891,154.056,28.07,148.417
26.975,154.375,28.158,147.861
27.059,152.889,28.246,148.125
27.143,150.889,28.333,147.486
27.227,148.847,28.421,144.597
27.311,150.014,28.509,143.736
27.395,152.361,28.596,145.944
27.479,152.583,28.684,147.139
27.563,152.458,28.772,148.417
27.647,153.208,28.86,150.153
27.731,153.75,28.947,149.028
27.815,154.333,29.035,146.75
27.899,153.667,29.123,145.278
27.983,154.292,29.211,144.444
28.067,153.125,29.298,144.694
28.151,152.333,29.386,146
28.235,151.875,29.474,147.639
28.319,153.681,29.561,147.889
28.403,155.111,29.649,146.917
28.487,155.764,29.737,147.069
28.571,156.667,29.825,146.5
28.655,156.667,29.912,145.5
28.739,157.472,30,144.861
28.824,156.639,30.088,144.847
28.908,155.653,30.175,146.597
28.992,154.389,30.263,145.903
29.076,152.764,30.351,143.125
29.16,151.403,30.439,141.944
29.244,152.181,30.526,143.625
29.328,152.764,30.614,144.889
29.412,152.722,30.702,145.75
29.496,153.722,30.789,144.319
29.58,155.194,30.877,143.986
29.664,155.861,30.965,144.639
29.748,155.306,31.053,146.056
29.832,153.778,31.14,147.181
29.916,152.653,31.228,147.889
30,153.042,31.316,148.194
30.084,153.292,31.404,147.972
30.168,153.667,31.491,146.514
30.252,155.097,31.579,147.292
30.336,155.736,31.667,149.167
30.42,156.264,31.754,150.042
30.504,157.083,31.842,150.458
30.588,157.361,31.93,148.264
30.672,158.028,32.018,146.708
30.756,157.861,32.105,146.361
30.84,157.431,32.193,148.069
30.924,155.097,32.281,147.847
31.008,152.764,32.368,145.903
31.092,152.028,32.456,144.306
31.176,153.236,32.544,143.153
31.261,154.667,32.632,141.611
31.345,156.903,32.719,143.181
31.429,157.722,32.807,144.472
31.513,157.153,32.895,145.819
31.597,157.542,32.982,144.375
31.681,156.708,33.07,143.417
31.765,156.306,33.158,143.792
31.849,156.694,33.246,144.889
31.933,156.125,33.333,146.333
32.017,155.014,33.421,147.458
32.101,153.611,33.509,148.625
32.185,152.153,33.596,148.222
32.269,152.056,33.684,147.139
32.353,151.819,33.772,146.806
32.437,153.222,33.86,146.069
32.521,153.292,33.947,144.569
32.605,153.167,34.035,142.931
32.689,154.5,34.123,141.056
32.773,153.861,34.211,140.056
32.857,152.736,34.298,139.306
32.941,152.444,34.386,139.694
33.025,151.167,34.474,142.681
33.109,150.111,34.561,143.764
33.193,149.583,34.649,144.431
33.277,149.361,34.737,144.542
33.361,149.181,34.825,144.403
33.445,149.167,34.912,145.083
33.529,149.444,35,144.931
33.613,149.944,35.088,144.236
33.697,149.056,35.175,143.528
33.782,147.722,35.263,142.931
33.866,146.556,35.351,142.333
33.95,146.014,35.439,142.333
34.034,147.264,35.526,141.792
34.118,148.472,35.614,140.236
34.202,149.042,35.702,138.653
34.286,148.639,35.789,136.569
34.37,147.264,35.877,136.25
34.454,147.639,35.965,137.069
34.538,148.819,36.053,136.25
34.622,148.875,36.14,134.722
34.706,148.611,36.228,134.042
34.79,149.333,36.316,134.069
34.874,149.056,36.404,135.528
34.958,149.292,36.491,135.222
35.042,148.583,36.579,133.167
35.126,147.528,36.667,133.083
35.21,145.542,36.754,133.472
35.294,143.819,36.842,132.847
35.378,142.472,36.93,133.236
35.462,141.653,37.018,133.028
35.546,140.861,37.105,132.139
35.63,141.542,37.193,130.208
35.714,141.639,37.281,130.556
35.798,141.5,37.368,131.528
35.882,141.583,37.456,132.403
35.966,141.375,37.544,133.472
36.05,141.319,37.632,132.667
36.134,141.139,37.719,132.222
36.218,141.389,37.807,132.611
36.303,142.264,37.895,132.222
36.387,141.861,37.982,131.458
36.471,140.722,38.07,130.222
36.555,140.958,38.158,131.333
36.639,141.472,38.246,131.972
36.723,141.097,38.333,131.958
36.807,141.903,38.421,133.708
36.891,143.278,38.509,134.667
36.975,144.486,38.596,134
37.059,143.861,38.684,132.597
37.143,143.431,38.772,132.069
37.227,144.75,38.86,131.597
37.311,147.014,38.947,130.153
37.395,148.139,39.035,130.125
37.479,149.708,39.123,133.5
37.563,150.292,39.211,137.625
37.647,149.667,39.298,138.583
37.731,150.458,39.386,137.417
37.815,151.375,39.474,138.292
37.899,150.375,39.561,137.986
37.983,150.431,39.649,137.208
38.067,151.569,39.737,137.861
38.151,151.667,39.825,137.458
38.235,150.333,39.912,137.292
38.319,148.806,NA,NA
38.403,147.708,NA,NA
38.487,148.583,NA,NA
38.571,149.292,NA,NA
38.655,148.139,NA,NA
38.739,147.472,NA,NA
38.824,148.389,NA,NA
38.908,148.139,NA,NA
38.992,147.333,NA,NA
39.076,145.139,NA,NA
39.16,143.75,NA,NA
39.244,140.875,NA,NA
39.328,137.597,NA,NA
39.412,134.556,NA,NA
39.496,132.014,NA,NA
39.58,128.944,NA,NA
39.664,127.028,NA,NA
39.748,125.792,NA,NA
39.832,124.556,NA,NA
39.916,124.681,NA,NA
