"distance.picInhib","instensity.picInhib"
31.793,143.431
31.873,143.694
31.952,144.222
32.032,144.653
32.112,145.667
32.191,145.986
32.271,146.236
32.351,147.278
32.43,148.153
32.51,148.597
32.59,148.903
32.669,149.333
32.749,150.181
32.829,150.375
32.908,150.444
32.988,151.264
33.068,152.292
33.147,154.042
33.227,155.75
33.307,157.389
33.386,158.569
33.466,159.333
33.546,160.569
33.625,161.5
33.705,162.181
33.785,163.014
33.865,163.528
33.944,164.292
34.024,165.097
34.104,166.597
34.183,168.097
34.263,169.153
34.343,169.292
34.422,169.417
34.502,170.236
34.582,170.542
34.661,170.819
34.741,171.264
34.821,172.417
34.9,175.722
34.98,178.625
35.06,180.944
35.139,184.708
35.219,186.042
35.299,185.542
35.378,184.958
35.458,187.083
35.538,190.972
35.618,194.931
35.697,195.847
35.777,195.917
35.857,197.653
35.936,197.125
36.016,198.111
36.096,200.833
36.175,203.569
36.255,204.667
36.335,205.083
36.414,204.097
36.494,202.569
36.574,202.028
36.653,203.597
36.733,205.097
36.813,204.917
36.892,203.986
36.972,202.236
37.052,199.208
37.131,195.028
37.211,190.431
37.291,187.486
37.371,186.292
37.45,183.278
37.53,181.861
37.61,180.639
37.689,177.903
37.769,174.014
37.849,170.708
37.928,169.889
38.008,167.944
38.088,170.389
38.167,168.292
38.247,162.861
38.327,157.431
38.406,152.861
38.486,146.708
38.566,138.014
38.645,128.167
38.725,122.514
38.805,117.361
38.884,112.972
38.964,107.917
39.044,102.361
39.124,100.875
39.203,99.5
39.283,92.208
39.363,87.556
39.442,84.833
39.522,79.278
39.602,70.014
39.681,56.694
39.761,41.264
39.841,29.736
39.92,27.069
